ds,yhat,yhat_lower,yhat_upper
2022-04-21,1837.1280840378215,1575.6057992239166,2129.7114270888687
2022-04-22,1842.0934266576771,1559.4959196591776,2119.2293588601965
2022-04-25,1844.511795929956,1556.8809106994636,2119.3711232809915
2022-04-26,1842.8829131697062,1572.0228812445498,2143.1658109140094
2022-04-28,1840.4739368450346,1577.9906596060694,2125.5300026875416
2022-04-29,1843.2140972795326,1558.6396076812591,2141.7625800043743
2022-05-02,1838.8277607817377,1551.61269886288,2114.3918411329846
2022-05-04,1833.7875751350707,1545.9564433901614,2118.586286429424
2022-05-06,1829.3671454494659,1541.349067048062,2074.038442355702
2022-05-07,1834.6936107249003,1547.6837568949602,2106.990513121504
2022-05-08,1739.6393479218082,1462.2702239584548,2000.9029357980403
2022-05-09,1820.3414209064488,1513.5262083765795,2094.1420409815696
2022-05-10,1815.319688433448,1527.1747450721925,2088.392883644008
2022-05-11,1813.0880953315188,1551.096987942987,2096.4138062954394
2022-05-12,1806.9576981993698,1523.841410238946,2091.7382908167115
2022-05-13,1807.1823163085544,1529.8918072684173,2071.8895564022487
2022-05-16,1797.2437258914997,1518.5950469578747,2079.333692128628
2022-05-17,1792.2484342506737,1507.6426807983523,2073.5200408953447
2022-05-18,1790.1996167224984,1512.8698814999436,2073.848375056439
2022-05-22,1695.9992132994496,1417.729809109577,1967.795801865012
2022-05-23,1777.4761142290095,1488.4124515352862,2043.3979750003764
